concept_group	n_stays_with_any_record_72h	n_records_72h	n_records_0_24h	n_records_0_48h	n_records_0_72h	records_per_recorded_stay
vitals	26241	8705233	4543126	7114375	8705233	331.74
orientation	26221	1973840	1047579	1620991	1973840	75.28
mobility_turning	26139	2226965	1091897	1783093	2226965	85.2
pain	26127	2421139	1235931	1977202	2421139	92.67
skin_braden_pressure	26100	1682794	872492	1359707	1682794	64.47
moisture_hygiene	26077	780045	392862	628940	780045	29.91
nutrition	26060	332740	192189	277385	332740	12.77
glucose_check	25707	296445	173127	249899	296445	11.53
oral_suction_airway	22710	327877	170661	268550	327877	14.44
rass_sedation	22373	415042	209784	335446	415042	18.55
cam_icu_delirium	19563	216216	113275	175696	216216	11.05
restraints	12017	1029046	468854	782847	1029046	85.63
