concept_group	n_records_72h	n_stays_with_any_record_72h	source_table	n_records_0_24h	n_records_0_48h	n_records_0_72h
delirium_orientation	13267	939	nurseassessment	6491	10806	13267
mobility_turning	591	220	nurseassessment	331	472	591
moisture_hygiene	411	191	nurseassessment	230	336	411
nutrition	353	209	nurseassessment	194	279	353
oral_suction_airway	6269	918	nurseassessment	2933	4870	6269
pain	499	154	nurseassessment	239	394	499
skin_braden_pressure	8554	957	nurseassessment	4497	6963	8554
delirium_orientation	12832	940	nurseassessment	6456	10505	12832
mobility_turning	617	231	nurseassessment	331	503	617
moisture_hygiene	381	193	nurseassessment	206	315	381
nutrition	357	218	nurseassessment	199	306	357
oral_suction_airway	6372	920	nurseassessment	3061	5002	6372
pain	488	152	nurseassessment	232	374	488
skin_braden_pressure	8709	944	nurseassessment	4507	6984	8709
delirium_orientation	13379	943	nurseassessment	6717	10905	13379
mobility_turning	583	225	nurseassessment	353	507	583
moisture_hygiene	411	201	nurseassessment	243	353	411
nutrition	356	214	nurseassessment	214	308	356
oral_suction_airway	6313	914	nurseassessment	2854	4844	6313
pain	466	152	nurseassessment	196	356	466
skin_braden_pressure	8855	947	nurseassessment	4552	7253	8855
delirium_orientation	12930	936	nurseassessment	6636	10503	12930
mobility_turning	598	248	nurseassessment	351	514	598
moisture_hygiene	437	214	nurseassessment	256	382	437
nutrition	364	222	nurseassessment	202	304	364
oral_suction_airway	6189	903	nurseassessment	2871	4777	6189
pain	477	147	nurseassessment	211	372	477
skin_braden_pressure	8776	949	nurseassessment	4530	7186	8776
delirium_orientation	14726	1117	nurseassessment	7338	11934	14726
mobility_turning	3200	401	nurseassessment	1573	2509	3200
moisture_hygiene	1485	368	nurseassessment	728	1161	1485
nutrition	1141	373	nurseassessment	558	890	1141
oral_suction_airway	6405	1069	nurseassessment	2866	4876	6405
pain	484	181	nurseassessment	229	366	484
skin_braden_pressure	16466	1109	nurseassessment	8111	12875	16466
delirium_orientation	12669	549	nurseassessment	7180	10788	12669
mobility_turning	11608	549	nurseassessment	6213	9568	11608
moisture_hygiene	4336	464	nurseassessment	2172	3497	4336
nutrition	3768	483	nurseassessment	1933	3063	3768
oral_suction_airway	5095	530	nurseassessment	2461	4032	5095
pain	265	83	nurseassessment	119	206	265
skin_braden_pressure	36820	558	nurseassessment	19451	30154	36820
delirium_orientation	13095	2187	nurseassessment	6713	10688	13095
mobility_turning	10333	2039	nurseassessment	5126	8330	10333
moisture_hygiene	4242	1339	nurseassessment	1957	3303	4242
nutrition	3817	1452	nurseassessment	1794	2982	3817
oral_suction_airway	5022	1792	nurseassessment	2298	3896	5022
