dataset_id	variable_or_event_category	source_table	window_hours	day_night_period	n_stays	n_events
MIMIC-IV-2.2	cam_icu_delirium	chartevents	24	day_06_22	18591	86542
MIMIC-IV-2.2	cam_icu_delirium	chartevents	24	night_22_06	9550	26733
MIMIC-IV-2.2	cam_icu_delirium	chartevents	48	day_06_22	19097	138788
MIMIC-IV-2.2	cam_icu_delirium	chartevents	48	night_22_06	10853	36908
MIMIC-IV-2.2	cam_icu_delirium	chartevents	72	day_06_22	19162	172827
MIMIC-IV-2.2	cam_icu_delirium	chartevents	72	night_22_06	11389	43389
MIMIC-IV-2.2	glucose_check	chartevents	24	day_06_22	22551	105462
MIMIC-IV-2.2	glucose_check	chartevents	24	night_22_06	23691	67665
MIMIC-IV-2.2	glucose_check	chartevents	48	day_06_22	23233	153501
MIMIC-IV-2.2	glucose_check	chartevents	48	night_22_06	24259	96398
MIMIC-IV-2.2	glucose_check	chartevents	72	day_06_22	23380	182423
MIMIC-IV-2.2	glucose_check	chartevents	72	night_22_06	24311	114022
MIMIC-IV-2.2	mobility_turning	chartevents	24	day_06_22	26000	716717
MIMIC-IV-2.2	mobility_turning	chartevents	24	night_22_06	25231	375180
MIMIC-IV-2.2	mobility_turning	chartevents	48	day_06_22	26007	1185886
MIMIC-IV-2.2	mobility_turning	chartevents	48	night_22_06	25326	597207
MIMIC-IV-2.2	mobility_turning	chartevents	72	day_06_22	26009	1486519
MIMIC-IV-2.2	mobility_turning	chartevents	72	night_22_06	25329	740446
MIMIC-IV-2.2	moisture_hygiene	chartevents	24	day_06_22	25817	270145
MIMIC-IV-2.2	moisture_hygiene	chartevents	24	night_22_06	22620	122717
MIMIC-IV-2.2	moisture_hygiene	chartevents	48	day_06_22	25865	438184
MIMIC-IV-2.2	moisture_hygiene	chartevents	48	night_22_06	23497	190756
MIMIC-IV-2.2	moisture_hygiene	chartevents	72	day_06_22	25873	545225
MIMIC-IV-2.2	moisture_hygiene	chartevents	72	night_22_06	23667	234820
MIMIC-IV-2.2	nutrition	chartevents	24	day_06_22	25742	129000
MIMIC-IV-2.2	nutrition	chartevents	24	night_22_06	21563	63189
MIMIC-IV-2.2	nutrition	chartevents	48	day_06_22	25819	192276
MIMIC-IV-2.2	nutrition	chartevents	48	night_22_06	22501	85109
MIMIC-IV-2.2	nutrition	chartevents	72	day_06_22	25830	233145
MIMIC-IV-2.2	nutrition	chartevents	72	night_22_06	22790	99595
MIMIC-IV-2.2	oral_suction_airway	chartevents	24	day_06_22	19817	116369
MIMIC-IV-2.2	oral_suction_airway	chartevents	24	night_22_06	15463	54292
MIMIC-IV-2.2	oral_suction_airway	chartevents	48	day_06_22	21348	185985
MIMIC-IV-2.2	oral_suction_airway	chartevents	48	night_22_06	17218	82565
MIMIC-IV-2.2	oral_suction_airway	chartevents	72	day_06_22	21680	227030
MIMIC-IV-2.2	oral_suction_airway	chartevents	72	night_22_06	17665	100847
MIMIC-IV-2.2	orientation	chartevents	24	day_06_22	26083	709748
MIMIC-IV-2.2	orientation	chartevents	24	night_22_06	25175	337831
MIMIC-IV-2.2	orientation	chartevents	48	day_06_22	26089	1113148
MIMIC-IV-2.2	orientation	chartevents	48	night_22_06	25295	507843
MIMIC-IV-2.2	orientation	chartevents	72	day_06_22	26092	1360131
MIMIC-IV-2.2	orientation	chartevents	72	night_22_06	25311	613709
MIMIC-IV-2.2	pain	chartevents	24	day_06_22	25967	809190
MIMIC-IV-2.2	pain	chartevents	24	night_22_06	24855	426741
MIMIC-IV-2.2	pain	chartevents	48	day_06_22	25985	1325363
MIMIC-IV-2.2	pain	chartevents	48	night_22_06	25135	651839
MIMIC-IV-2.2	pain	chartevents	72	day_06_22	25987	1630898
MIMIC-IV-2.2	pain	chartevents	72	night_22_06	25165	790241
MIMIC-IV-2.2	rass_sedation	chartevents	24	day_06_22	21976	142143
MIMIC-IV-2.2	rass_sedation	chartevents	24	night_22_06	18552	67641
MIMIC-IV-2.2	rass_sedation	chartevents	48	day_06_22	22133	230845
MIMIC-IV-2.2	rass_sedation	chartevents	48	night_22_06	19636	104601
MIMIC-IV-2.2	rass_sedation	chartevents	72	day_06_22	22158	286788
MIMIC-IV-2.2	rass_sedation	chartevents	72	night_22_06	19898	128254
MIMIC-IV-2.2	restraints	chartevents	24	day_06_22	10584	306048
MIMIC-IV-2.2	restraints	chartevents	24	night_22_06	7685	162806
MIMIC-IV-2.2	restraints	chartevents	48	day_06_22	11409	511014
MIMIC-IV-2.2	restraints	chartevents	48	night_22_06	8554	271833
MIMIC-IV-2.2	restraints	chartevents	72	day_06_22	11730	671688
MIMIC-IV-2.2	restraints	chartevents	72	night_22_06	8908	357358
MIMIC-IV-2.2	skin_braden_pressure	chartevents	24	day_06_22	25844	621452
MIMIC-IV-2.2	skin_braden_pressure	chartevents	24	night_22_06	22195	251040
MIMIC-IV-2.2	skin_braden_pressure	chartevents	48	day_06_22	25877	987477
MIMIC-IV-2.2	skin_braden_pressure	chartevents	48	night_22_06	22973	372230
MIMIC-IV-2.2	skin_braden_pressure	chartevents	72	day_06_22	25879	1228229
MIMIC-IV-2.2	skin_braden_pressure	chartevents	72	night_22_06	23170	454565
MIMIC-IV-2.2	vitals	chartevents	24	day_06_22	26137	3109002
MIMIC-IV-2.2	vitals	chartevents	24	night_22_06	25606	1434124
MIMIC-IV-2.2	vitals	chartevents	48	day_06_22	26146	4910204
MIMIC-IV-2.2	vitals	chartevents	48	night_22_06	25615	2204171
MIMIC-IV-2.2	vitals	chartevents	72	day_06_22	26150	6017392
MIMIC-IV-2.2	vitals	chartevents	72	night_22_06	25621	2687841
