dataset_id	landmark_hours	feature	nonmissing	nonzero	mean	median	p25	p75	max
MIMIC-IV-2.2	72	nursing_cam_icu_delirium_n_records_72h	8327	6419	13.066410471958688	13.0	4.0	19.0	64.0
MIMIC-IV-2.2	72	nursing_glucose_check_n_records_72h	8327	8325	17.83907769905128	14.0	9.0	21.0	152.0
MIMIC-IV-2.2	72	nursing_mobility_turning_n_records_72h	8327	8299	140.5500180136904	141.0	120.0	163.0	286.0
MIMIC-IV-2.2	72	nursing_moisture_hygiene_n_records_72h	8327	8313	47.58880749369521	47.0	36.0	57.0	166.0
MIMIC-IV-2.2	72	nursing_nutrition_n_records_72h	8327	8298	18.64356911252552	18.0	14.0	21.0	113.0
MIMIC-IV-2.2	72	nursing_oral_suction_airway_n_records_72h	8327	8074	22.696409271045994	20.0	8.0	32.0	159.0
MIMIC-IV-2.2	72	nursing_orientation_n_records_72h	8327	8324	119.75693527080581	108.0	83.0	140.0	561.0
MIMIC-IV-2.2	72	nursing_pain_n_records_72h	8327	8299	139.80677314759217	129.0	93.0	175.0	599.0
MIMIC-IV-2.2	72	nursing_rass_sedation_n_records_72h	8327	7245	25.137264320883872	28.0	18.0	34.0	95.0
MIMIC-IV-2.2	72	nursing_restraints_n_records_72h	8327	5572	88.95604659541252	43.0	0.0	165.0	507.0
MIMIC-IV-2.2	72	nursing_skin_braden_pressure_n_records_72h	8327	8299	105.48985228773869	93.0	70.0	121.0	975.0
MIMIC-IV-2.2	72	nursing_vitals_n_records_72h	8327	8306	525.8466434490213	509.0	458.0	579.0	1399.0
MIMIC-IV-2.2	72	nursing_cam_icu_delirium_n_numeric_72h	8327	5946	7.345142308154197	6.0	0.0	11.0	48.0
MIMIC-IV-2.2	72	nursing_glucose_check_n_numeric_72h	8327	8325	17.811456707097395	14.0	9.0	21.0	152.0
MIMIC-IV-2.2	72	nursing_mobility_turning_n_numeric_72h	8327	8298	23.6405668307914	17.0	9.0	38.0	135.0
MIMIC-IV-2.2	72	nursing_moisture_hygiene_n_numeric_72h	8327	5138	1.730755374084304	1.0	0.0	3.0	19.0
MIMIC-IV-2.2	72	nursing_nutrition_n_numeric_72h	8327	6030	1.8028101357031343	1.0	0.0	3.0	16.0
MIMIC-IV-2.2	72	nursing_oral_suction_airway_n_numeric_72h	8327	5134	4.500540410712142	2.0	0.0	8.0	38.0
MIMIC-IV-2.2	72	nursing_orientation_n_numeric_72h	8327	8324	96.47255914495017	84.0	59.0	115.0	561.0
MIMIC-IV-2.2	72	nursing_pain_n_numeric_72h	8327	8021	17.571634442176055	13.0	6.0	22.0	228.0
MIMIC-IV-2.2	72	nursing_rass_sedation_n_numeric_72h	8327	7245	25.122493094752013	28.0	18.0	34.0	95.0
MIMIC-IV-2.2	72	nursing_restraints_n_numeric_72h	8327	28	0.02605980545214363	0.0	0.0	0.0	31.0
MIMIC-IV-2.2	72	nursing_skin_braden_pressure_n_numeric_72h	8327	8299	62.782995076257954	60.0	48.0	77.0	240.0
MIMIC-IV-2.2	72	nursing_vitals_n_numeric_72h	8327	8306	490.3131980305032	475.0	428.0	540.0	1347.0
MIMIC-IV-2.2	72	nursing_cam_icu_delirium_mean_valuenum_72h	5946	3931	0.38408766107465264	0.3333333333333333	0.0	0.7142857142857143	1.0
MIMIC-IV-2.2	72	nursing_glucose_check_mean_valuenum_72h	8325	8325	229.350862940049	133.20833333333334	117.64285714285714	157.04545454545453	166776.0
